warehouse_id,product_id,quantity
1,1,13
1,2,126
1,3,378
1,4,380
1,5,45
1,6,17
1,7,0
1,8,259
1,9,288
1,10,333
1,11,215
1,12,302
1,13,446
1,14,0
1,15,358
1,16,143
1,17,491
1,18,53
1,19,0
1,20,0
1,21,310
1,22,23
1,23,275
1,24,473
1,25,283
1,26,322
1,27,442
1,28,99
1,29,24
1,30,396
1,31,41
1,32,444
1,33,143
1,34,428
1,35,190
1,36,344
1,37,480
1,38,37
1,39,88
1,40,126
1,41,195
1,42,474
1,43,286
1,44,167
1,45,398
1,46,0
1,47,413
1,48,138
1,49,0
1,50,291
1,51,162
1,52,256
1,53,469
1,54,74
1,55,127
1,56,276
1,57,300
1,58,299
1,59,113
1,60,71
1,61,47
1,62,441
1,63,322
1,64,349
1,65,33
1,66,306
1,67,271
1,68,284
1,69,6
1,70,59
1,71,275
1,72,394
1,73,58
1,74,81
1,75,489
1,76,369
1,77,257
1,78,260
1,79,446
1,80,431
1,81,312
1,82,192
1,83,277
1,84,473
1,85,1
1,86,251
1,87,0
1,88,450
1,89,414
1,90,30
1,91,291
1,92,44
1,93,418
1,94,0
1,95,393
1,96,338
1,97,282
1,98,271
1,99,217
1,100,476
1,101,374
1,102,366
1,103,344
1,104,225
1,105,232
1,106,116
1,107,0
1,108,0
1,109,302
1,110,37
1,111,31
1,112,464
1,113,0
1,114,264
1,115,343
1,116,277
1,117,479
1,118,296
1,119,402
1,120,209
1,121,50
1,122,182
1,123,240
1,124,28
1,125,331
1,126,0
1,127,174
1,128,56
1,129,98
1,130,72
1,131,143
1,132,448
1,133,227
1,134,439
1,135,26
1,136,277
1,137,497
1,138,0
1,139,122
1,140,249
1,141,443
1,142,31
1,143,2
1,144,136
1,145,402
1,146,217
1,147,375
1,148,285
1,149,250
1,150,152
1,151,30
1,152,278
1,153,0
1,154,26
1,155,258
1,156,272
1,157,492
1,158,436
1,159,305
1,160,0
1,161,207
1,162,456
1,163,297
1,164,318
1,165,0
1,166,290
1,167,479
1,168,343
1,169,123
1,170,68
1,171,154
1,172,476
1,173,38
1,174,0
1,175,289
1,176,38
1,177,260
